IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
172.64.143.214,4,4,0.00,157.62,0.00
172.64.40.194,4,4,0.00,160.71,0.00
172.64.137.176,4,4,0.00,161.72,0.00
172.64.172.91,4,4,0.00,168.58,0.00
172.64.165.53,4,4,0.00,168.58,0.00
172.67.38.163,4,4,0.00,175.95,0.00
172.67.252.40,4,4,0.00,189.97,0.00
104.21.127.242,4,4,0.00,193.70,0.00
172.65.10.219,4,4,0.00,195.39,0.00
172.65.40.151,4,4,0.00,197.68,0.00
172.65.3.106,4,4,0.00,200.26,0.00
172.65.28.102,4,4,0.00,200.27,0.00
172.67.213.93,4,4,0.00,200.30,0.00
104.21.205.116,4,4,0.00,202.62,0.00
172.67.247.14,4,4,0.00,203.28,0.00
104.21.124.195,4,4,0.00,204.49,0.00
172.67.137.40,4,4,0.00,204.83,0.00
172.65.16.220,4,4,0.00,204.89,0.00
172.67.145.186,4,4,0.00,205.06,0.00
172.67.249.100,4,4,0.00,205.84,0.00
172.67.153.211,4,4,0.00,206.05,0.00
172.67.189.241,4,4,0.00,206.35,0.00
172.67.146.94,4,4,0.00,207.06,0.00
172.65.19.121,4,4,0.00,207.08,0.00
172.67.172.231,4,4,0.00,207.25,0.00
172.67.245.204,4,4,0.00,207.60,0.00
172.67.232.122,4,4,0.00,207.72,0.00
172.65.35.179,4,4,0.00,207.85,0.00
104.21.115.182,4,4,0.00,208.12,0.00
172.67.201.151,4,4,0.00,208.61,0.00
172.67.182.125,4,4,0.00,209.22,0.00
172.65.41.21,4,4,0.00,209.54,0.00
172.65.58.201,4,4,0.00,209.67,0.00
104.21.116.160,4,4,0.00,209.73,0.00
172.67.222.157,4,4,0.00,209.78,0.00
172.67.239.12,4,4,0.00,210.04,0.00
172.65.43.25,4,4,0.00,210.69,0.00
172.67.200.89,4,4,0.00,210.76,0.00
172.65.51.249,4,4,0.00,210.78,0.00
172.65.61.185,4,4,0.00,210.79,0.00
172.67.128.163,4,4,0.00,210.83,0.00
172.65.7.185,4,4,0.00,210.99,0.00
172.65.36.83,4,4,0.00,211.94,0.00
172.65.209.26,4,4,0.00,211.96,0.00
172.65.170.131,4,4,0.00,212.53,0.00
172.67.226.135,4,4,0.00,212.54,0.00
172.65.11.244,4,4,0.00,212.64,0.00
172.67.152.38,4,4,0.00,212.96,0.00
172.65.190.82,4,4,0.00,212.97,0.00
104.21.105.166,4,4,0.00,213.13,0.00
172.67.254.231,4,4,0.00,213.18,0.00
104.21.125.99,4,4,0.00,213.21,0.00
172.67.167.184,4,4,0.00,213.34,0.00
104.21.212.200,4,4,0.00,213.65,0.00
172.65.20.182,4,4,0.00,213.91,0.00
104.23.140.22,4,4,0.00,214.75,0.00
104.24.21.97,4,4,0.00,214.81,0.00
104.21.193.228,4,4,0.00,214.90,0.00
104.21.209.236,4,4,0.00,214.92,0.00
172.65.33.8,4,4,0.00,215.01,0.00
104.26.15.73,4,4,0.00,215.14,0.00
104.21.111.160,4,4,0.00,215.19,0.00
104.26.11.195,4,4,0.00,215.51,0.00
172.65.1.9,4,4,0.00,215.74,0.00
104.24.218.116,4,4,0.00,215.76,0.00
172.65.75.135,4,4,0.00,215.83,0.00
172.65.166.217,4,4,0.00,215.84,0.00
104.24.148.235,4,4,0.00,215.87,0.00
172.67.58.73,4,4,0.00,215.90,0.00
172.65.183.197,4,4,0.00,215.91,0.00
104.24.94.0,4,4,0.00,216.19,0.00
104.25.35.205,4,4,0.00,216.25,0.00
104.27.107.253,4,4,0.00,216.35,0.00
172.65.99.113,4,4,0.00,216.42,0.00
172.65.56.51,4,4,0.00,216.54,0.00
104.24.16.163,4,4,0.00,216.57,0.00
172.67.8.64,4,4,0.00,216.58,0.00
172.66.170.46,4,4,0.00,216.72,0.00
104.25.235.139,4,4,0.00,216.77,0.00
172.65.4.239,4,4,0.00,216.89,0.00
104.24.177.159,4,4,0.00,216.95,0.00
104.24.153.149,4,4,0.00,217.02,0.00
104.21.203.202,4,4,0.00,217.05,0.00
104.27.36.138,4,4,0.00,217.08,0.00
172.67.70.113,4,4,0.00,217.13,0.00
104.21.123.235,4,4,0.00,217.21,0.00
172.65.34.94,4,4,0.00,217.24,0.00
104.25.104.199,4,4,0.00,217.44,0.00
172.67.147.121,4,4,0.00,217.52,0.00
104.27.120.30,4,4,0.00,217.52,0.00
172.67.191.57,4,4,0.00,217.83,0.00
172.65.2.20,4,4,0.00,217.85,0.00
172.67.251.38,4,4,0.00,217.85,0.00
104.25.118.88,4,4,0.00,217.88,0.00
172.65.26.122,4,4,0.00,217.92,0.00
104.25.83.33,4,4,0.00,218.21,0.00
104.25.226.104,4,4,0.00,218.49,0.00
104.21.13.214,4,4,0.00,218.51,0.00
172.67.94.199,4,4,0.00,218.53,0.00
172.67.246.67,4,4,0.00,218.59,0.00
172.65.161.235,4,4,0.00,218.65,0.00
172.67.154.97,4,4,0.00,218.72,0.00
104.27.89.93,4,4,0.00,218.77,0.00
172.64.232.97,4,4,0.00,219.17,0.00
104.24.79.0,4,4,0.00,219.22,0.00
104.23.124.111,4,4,0.00,219.37,0.00
104.24.254.181,4,4,0.00,219.42,0.00
104.26.2.102,4,4,0.00,219.43,0.00
172.65.109.162,4,4,0.00,219.44,0.00
104.23.137.170,4,4,0.00,219.46,0.00
104.24.55.44,4,4,0.00,219.54,0.00
104.27.35.103,4,4,0.00,219.54,0.00
104.24.146.92,4,4,0.00,219.56,0.00
172.66.205.242,4,4,0.00,219.67,0.00
104.24.34.231,4,4,0.00,219.82,0.00
104.22.46.249,4,4,0.00,219.87,0.00
104.26.4.248,4,4,0.00,220.12,0.00
172.65.129.201,4,4,0.00,220.18,0.00
172.66.208.108,4,4,0.00,220.18,0.00
104.23.101.144,4,4,0.00,220.19,0.00
172.67.103.200,4,4,0.00,220.20,0.00
104.25.115.26,4,4,0.00,220.22,0.00
104.26.12.130,4,4,0.00,220.22,0.00
172.67.48.200,4,4,0.00,220.32,0.00
172.65.119.198,4,4,0.00,220.41,0.00
104.24.204.246,4,4,0.00,220.45,0.00
172.67.79.218,4,4,0.00,220.48,0.00
104.25.137.127,4,4,0.00,220.52,0.00
172.66.216.251,4,4,0.00,220.72,0.00
104.25.39.38,4,4,0.00,220.73,0.00
104.25.66.165,4,4,0.00,220.77,0.00
104.22.67.183,4,4,0.00,220.90,0.00
104.24.199.14,4,4,0.00,220.94,0.00
104.25.231.168,4,4,0.00,221.04,0.00
104.25.139.87,4,4,0.00,221.07,0.00
104.23.116.62,4,4,0.00,221.09,0.00
104.25.112.240,4,4,0.00,221.21,0.00
104.23.100.70,4,4,0.00,221.22,0.00
172.67.64.87,4,4,0.00,221.23,0.00
104.24.31.231,4,4,0.00,221.23,0.00
104.24.10.156,4,4,0.00,221.30,0.00
104.27.103.225,4,4,0.00,221.33,0.00
